Income,EmploymentType,LoanAmount,CreditScore,Age,LoanDuration,NumberPreviousDefaults,CollateralInformation,MaritalStatus,Dependents,LoanRepaymentHistory,LoanApproval
50061.0,Self-Employed,24300.0,424.0,37,11.0,1,No,Married,5,Good,0
61898.0,Self-Employed,17984.0,487.0,45,68.0,0,Yes,Single,1,Poor,0
49752.0,Salaried,16962.0,555.0,64,23.0,0,Yes,Single,2,Poor,0
53781.0,Salaried,16268.0,829.0,24,91.0,0,No,Married,1,Average,1
44358.0,Self-Employed,1395.0,691.0,61,84.0,0,No,Single,2,Poor,1
76238.0,Salaried,12265.0,767.0,25,112.0,0,No,Single,4,Average,1
34726.0,Self-Employed,29453.0,552.0,64,91.0,1,Yes,Single,4,Good,0
39511.0,Salaried,15685.0,,52,48.0,1,Yes,Married,0,Good,0
42615.0,Self-Employed,4796.0,765.0,31,117.0,0,Yes,Divorced,4,Good,1
58141.0,Self-Employed,11936.0,588.0,34,53.0,0,Yes,Single,1,Good,0
34417.0,Unemployed,22879.0,349.0,53,43.0,0,No,Single,1,Average,0
,Salaried,22720.0,303.0,67,110.0,0,Yes,Married,3,Good,0
52474.0,Self-Employed,17646.0,799.0,57,48.0,0,Yes,Single,1,Average,1
39585.0,Self-Employed,14486.0,,21,,1,No,Divorced,5,Good,0
54950.0,Salaried,8782.0,561.0,19,59.0,4,No,Married,0,Good,0
34883.0,Salaried,22945.0,834.0,23,97.0,0,Yes,Married,0,Good,0
33244.0,Salaried,26703.0,675.0,59,27.0,0,No,Divorced,4,Poor,0
51494.0,Unemployed,30311.0,360.0,21,59.0,1,,Married,1,Good,0
25104.0,Salaried,11115.0,655.0,46,20.0,1,Yes,Single,4,,0
17828.0,Unemployed,30924.0,323.0,35,84.0,0,Yes,Married,4,Good,0
57992.0,Salaried,19547.0,592.0,43,60.0,0,No,Married,1,Poor,0
65735.0,Unemployed,20213.0,655.0,61,43.0,1,No,Married,3,Good,0
42998.0,Salaried,27149.0,328.0,51,32.0,2,Yes,Divorced,3,Average,0
39979.0,Unemployed,15672.0,656.0,27,70.0,0,Yes,Single,0,Good,0
65083.0,Self-Employed,2690.0,664.0,53,83.0,2,Yes,Married,4,Good,1
32817.0,Unemployed,25639.0,708.0,31,114.0,0,Yes,Single,5,Average,0
29549.0,Unemployed,22789.0,565.0,48,56.0,2,No,Single,5,Average,0
60615.0,Self-Employed,17118.0,590.0,65,24.0,0,Yes,Married,0,Average,1
50136.0,Salaried,24980.0,452.0,32,101.0,0,No,Married,1,Good,0
65973.0,Self-Employed,26616.0,518.0,25,78.0,0,Yes,Married,4,Poor,0
17896.0,Self-Employed,7904.0,472.0,31,86.0,0,Yes,Single,1,Good,0
28990.0,Self-Employed,20180.0,311.0,40,17.0,0,Yes,Single,3,Poor,0
50215.0,Unemployed,1779.0,815.0,57,41.0,0,No,Married,2,Good,0
56265.0,Self-Employed,19010.0,661.0,38,94.0,0,Yes,Married,1,Good,1
62705.0,Salaried,17018.0,776.0,33,101.0,0,Yes,Married,3,Good,1
52622.0,Unemployed,23935.0,381.0,62,56.0,1,Yes,Married,1,Average,0
52470.0,Unemployed,11416.0,639.0,35,98.0,2,No,Married,0,Average,0
44159.0,Self-Employed,16628.0,740.0,64,102.0,1,No,Married,3,Good,1
73864.0,Unemployed,-5728.0,525.0,41,50.0,0,No,Single,1,Good,0
33455.0,Salaried,24460.0,670.0,43,109.0,0,Yes,Married,1,Good,0
55385.0,Unemployed,19293.0,327.0,42,39.0,2,No,Married,4,Good,0
35183.0,Self-Employed,20698.0,315.0,62,33.0,0,Yes,Divorced,3,Average,0
58022.0,Self-Employed,8053.0,576.0,58,84.0,0,No,Married,3,Good,0
34445.0,Self-Employed,23184.0,632.0,46,79.0,3,Yes,Married,0,Good,0
61157.0,Unemployed,33222.0,782.0,32,22.0,3,Yes,Single,0,Good,0
51682.0,Self-Employed,18521.0,587.0,62,101.0,0,No,Married,2,Good,0
76170.0,Unemployed,25201.0,413.0,18,28.0,1,No,Divorced,2,Poor,0
45785.0,Self-Employed,13035.0,337.0,42,98.0,0,Yes,Divorced,2,Good,0
56374.0,Self-Employed,19385.0,753.0,24,6.0,1,Yes,Single,0,Poor,1
38305.0,Self-Employed,7749.0,465.0,26,97.0,0,No,Single,5,Average,0
45682.0,Salaried,26305.0,504.0,41,96.0,0,No,Married,2,Good,0
51586.0,Salaried,21279.0,544.0,18,95.0,0,No,Married,4,Good,0
27092.0,Self-Employed,10246.0,632.0,61,82.0,0,Yes,Divorced,2,Average,0
28736.0,Self-Employed,13585.0,695.0,25,60.0,1,Yes,Single,2,Average,0
58998.0,Unemployed,20489.0,,41,87.0,0,No,Married,0,Good,0
47809.0,Unemployed,27391.0,420.0,28,37.0,2,No,Married,4,Poor,0
41106.0,Salaried,31836.0,558.0,68,95.0,1,No,Single,0,Good,0
38945.0,Unemployed,18927.0,,34,69.0,0,Yes,Single,4,Good,0
39523.0,Unemployed,9083.0,609.0,25,58.0,1,Yes,Married,5,Good,0
51688.0,Unemployed,21908.0,367.0,52,64.0,0,Yes,Single,2,Average,0
56676.0,Unemployed,34279.0,413.0,52,71.0,0,No,Married,5,Good,0
18618.0,Salaried,7018.0,519.0,50,10.0,0,Yes,,4,Good,0
71193.0,Salaried,12363.0,519.0,22,22.0,2,Yes,Married,0,Good,0
70126.0,Unemployed,24888.0,772.0,59,34.0,1,No,Single,1,Good,0
15040.0,Unemployed,21229.0,685.0,56,19.0,2,No,Divorced,3,Good,0
66289.0,Salaried,15640.0,597.0,58,56.0,2,Yes,Married,4,Poor,0
65828.0,Self-Employed,21761.0,552.0,45,82.0,3,,Married,0,Good,0
50007.0,Unemployed,27820.0,704.0,24,81.0,0,Yes,Married,4,Poor,0
30542.0,Self-Employed,19213.0,791.0,26,60.0,3,Yes,Married,4,Average,0
65228.0,Unemployed,18512.0,656.0,25,104.0,0,Yes,Divorced,0,Average,0
46382.0,Salaried,24712.0,727.0,29,71.0,0,Yes,Married,5,Poor,1
58233.0,Unemployed,17836.0,514.0,51,15.0,0,No,Married,3,,0
83288.0,Self-Employed,29140.0,679.0,50,93.0,0,No,Single,3,Good,1
53778.0,Salaried,36214.0,513.0,65,72.0,0,Yes,Single,0,Good,0
,Unemployed,12856.0,397.0,40,78.0,0,No,Married,3,Good,0
44964.0,Unemployed,10000.0,827.0,41,71.0,0,Yes,Single,2,Good,0
38158.0,Salaried,22974.0,827.0,54,69.0,0,No,Married,2,Average,0
56502.0,Unemployed,9716.0,,52,16.0,2,No,Divorced,4,Average,0
37909.0,Salaried,9579.0,848.0,61,70.0,0,Yes,,1,Good,0
,Unemployed,3606.0,627.0,57,97.0,0,Yes,Single,0,Average,0
30734.0,Salaried,16942.0,464.0,39,40.0,0,Yes,Married,2,Good,0
48019.0,Unemployed,19736.0,415.0,44,75.0,0,Yes,Single,4,Good,0
52651.0,Salaried,15861.0,449.0,52,9.0,0,No,Married,0,Good,0
9728.0,Salaried,31123.0,817.0,18,45.0,1,Yes,Married,5,Good,0
53894.0,Unemployed,30527.0,331.0,52,,0,Yes,Married,4,Good,0
49314.0,Salaried,35431.0,592.0,54,119.0,1,Yes,Married,5,,0
38525.0,Unemployed,20372.0,476.0,64,30.0,1,No,Married,2,Good,0
80429.0,Unemployed,29471.0,360.0,31,37.0,0,Yes,Single,0,Good,0
64377.0,Unemployed,22471.0,,20,52.0,2,No,Single,1,Average,0
33554.0,Salaried,21667.0,,18,120.0,0,Yes,,3,Good,0
62574.0,Unemployed,16261.0,306.0,22,104.0,2,Yes,Married,3,Average,0
68667.0,Salaried,1895.0,384.0,43,9.0,1,Yes,Single,4,Average,0
51980.0,Self-Employed,25098.0,697.0,31,32.0,1,Yes,Single,4,Good,1
55422.0,Self-Employed,29233.0,692.0,56,100.0,1,Yes,Single,4,Good,1
,Self-Employed,7795.0,346.0,44,12.0,2,No,Married,3,Poor,0
18713.0,Unemployed,19922.0,640.0,26,,4,No,Single,0,Good,0
47197.0,Salaried,27933.0,,32,38.0,0,Yes,,3,Good,0
46416.0,Unemployed,17124.0,777.0,32,111.0,1,Yes,Single,4,Poor,0
71452.0,Salaried,29545.0,725.0,43,39.0,1,Yes,Married,5,Average,1
55006.0,Self-Employed,18878.0,725.0,59,55.0,0,Yes,Single,5,Average,1
45536.0,Self-Employed,15799.0,814.0,30,82.0,2,No,,0,Average,1
48648.0,Self-Employed,30002.0,428.0,68,20.0,0,No,Single,2,Good,0
65351.0,Unemployed,12530.0,548.0,49,70.0,0,No,Married,3,Average,0
47231.0,Unemployed,14201.0,430.0,56,64.0,0,Yes,Divorced,1,Good,0
39527.0,Salaried,12836.0,622.0,66,96.0,0,Yes,Single,2,Poor,0
45864.0,Salaried,10859.0,842.0,69,120.0,2,Yes,Divorced,0,Good,1
,Self-Employed,21224.0,365.0,49,82.0,0,No,Single,1,Good,0
57442.0,Unemployed,15897.0,400.0,21,53.0,0,Yes,Married,0,Good,0
50664.0,Unemployed,23909.0,330.0,47,52.0,0,No,Married,5,Average,0
52873.0,Salaried,6123.0,490.0,54,54.0,0,Yes,Single,5,Good,0
41604.0,Salaried,11020.0,714.0,40,99.0,1,Yes,Married,2,Average,1
47091.0,Unemployed,20413.0,799.0,56,42.0,2,No,Single,0,Good,0
40050.0,Unemployed,31757.0,,62,25.0,0,Yes,Married,2,Good,0
45578.0,Salaried,23028.0,388.0,32,44.0,0,Yes,Married,2,Good,0
,Unemployed,15285.0,674.0,60,8.0,0,Yes,,1,Good,0
33832.0,Unemployed,8084.0,545.0,46,18.0,0,No,Single,3,Average,0
39669.0,Self-Employed,14817.0,556.0,53,16.0,0,Yes,Divorced,5,Poor,0
31186.0,Unemployed,19660.0,651.0,30,94.0,0,No,Single,5,Average,0
27936.0,Unemployed,1138.0,,49,89.0,0,Yes,Married,5,Good,0
47198.0,Unemployed,10293.0,636.0,24,86.0,0,Yes,Single,4,Good,0
40736.0,Salaried,14100.0,825.0,68,59.0,0,Yes,Single,0,Poor,1
76425.0,Self-Employed,17941.0,600.0,39,88.0,0,Yes,Single,3,Average,0
45757.0,Salaried,19565.0,376.0,45,24.0,1,No,Married,3,Average,0
69341.0,Self-Employed,15113.0,810.0,19,109.0,1,No,Single,0,Good,1
64520.0,Self-Employed,24047.0,529.0,59,63.0,0,No,Married,0,Average,0
46866.0,Unemployed,20998.0,331.0,62,113.0,1,No,Divorced,3,Good,0
81652.0,Self-Employed,17039.0,357.0,23,23.0,2,Yes,Single,4,Average,0
54028.0,Self-Employed,25150.0,,45,63.0,0,Yes,Single,1,Poor,0
72695.0,Unemployed,24496.0,611.0,45,86.0,0,No,Single,2,Poor,0
70949.0,Unemployed,8370.0,366.0,61,62.0,0,Yes,,0,Good,0
56220.0,Self-Employed,19744.0,,61,57.0,1,,Married,0,Average,1
61267.0,Salaried,27122.0,534.0,37,25.0,0,Yes,Married,3,Good,0
59361.0,Self-Employed,28460.0,411.0,47,49.0,1,Yes,Single,3,Good,0
32836.0,Salaried,22967.0,688.0,28,33.0,0,,Single,4,Average,0
50859.0,Salaried,18134.0,707.0,45,,0,Yes,Married,5,Good,1
66114.0,Self-Employed,23371.0,,42,84.0,3,Yes,Single,1,Good,0
72893.0,Salaried,26462.0,538.0,56,78.0,0,Yes,Married,2,Average,0
39190.0,Self-Employed,20927.0,594.0,50,75.0,2,Yes,Divorced,5,Average,0
,Salaried,21829.0,411.0,18,47.0,4,Yes,Single,0,Good,0
,Salaried,18002.0,387.0,44,116.0,2,Yes,Married,4,Good,0
48232.0,Self-Employed,9306.0,775.0,69,16.0,0,Yes,Married,5,,1
55340.0,Unemployed,18605.0,603.0,30,45.0,1,Yes,Married,0,Good,0
,Unemployed,14583.0,604.0,58,19.0,0,No,Married,0,Good,0
58121.0,Self-Employed,14609.0,589.0,20,44.0,0,Yes,Married,4,Good,0
71626.0,Self-Employed,31471.0,507.0,56,116.0,2,Yes,Married,2,Average,0
61762.0,Unemployed,27612.0,669.0,23,48.0,1,Yes,Married,5,Good,0
54659.0,Unemployed,6452.0,,25,110.0,0,Yes,Married,3,Good,0
77969.0,Salaried,11321.0,530.0,44,62.0,0,Yes,Married,3,Poor,0
66649.0,Salaried,17092.0,648.0,26,,1,,Married,1,Poor,1
48614.0,Salaried,14875.0,554.0,54,58.0,1,Yes,Single,1,Average,0
31743.0,Unemployed,22539.0,751.0,50,36.0,0,Yes,Married,1,Average,0
35183.0,Self-Employed,10051.0,441.0,68,93.0,2,Yes,Single,0,,0
63998.0,Salaried,27668.0,368.0,59,117.0,0,Yes,Single,0,Good,0
40545.0,Self-Employed,19648.0,388.0,61,36.0,0,Yes,Single,5,Good,0
34879.0,Unemployed,17276.0,435.0,41,95.0,0,Yes,Single,0,Average,0
38629.0,Salaried,19885.0,822.0,32,36.0,3,Yes,Married,3,Poor,0
39689.0,Unemployed,16660.0,741.0,49,88.0,0,No,Single,3,,0
62760.0,Self-Employed,3755.0,337.0,49,96.0,0,Yes,Married,0,Good,0
47649.0,Salaried,20095.0,507.0,41,57.0,0,Yes,Married,5,Poor,0
29414.0,Self-Employed,17434.0,509.0,58,90.0,2,Yes,Single,3,Average,0
50466.0,Self-Employed,12364.0,812.0,69,37.0,0,Yes,Single,0,Good,1
,Salaried,28779.0,659.0,66,15.0,0,Yes,Married,0,Poor,1
42810.0,Salaried,25356.0,300.0,66,17.0,4,No,Married,4,Average,1
67338.0,Unemployed,39511.0,680.0,69,57.0,0,No,Single,3,Average,0
43686.0,Salaried,26679.0,836.0,29,109.0,0,Yes,Single,2,Poor,1
66625.0,Salaried,14853.0,693.0,56,20.0,0,Yes,Single,2,Good,0
58952.0,Salaried,12754.0,349.0,19,58.0,1,No,Single,0,Average,0
63899.0,Salaried,16046.0,695.0,20,86.0,0,Yes,Single,0,Good,1
33522.0,Salaried,14667.0,331.0,66,29.0,0,Yes,Divorced,3,Poor,0
51475.0,Unemployed,20870.0,844.0,54,88.0,0,No,Single,2,Poor,0
49208.0,Self-Employed,7690.0,533.0,66,41.0,1,Yes,Single,1,Average,0
28670.0,Unemployed,25178.0,325.0,34,98.0,1,Yes,Married,2,Average,0
66576.0,Self-Employed,20730.0,733.0,66,72.0,0,,Married,3,Average,1
37739.0,Salaried,24260.0,360.0,19,68.0,0,Yes,Married,1,,0
40856.0,Unemployed,10847.0,740.0,19,26.0,2,Yes,Married,2,Good,0
34800.0,Self-Employed,21974.0,429.0,45,59.0,0,Yes,Divorced,1,Good,0
60518.0,Self-Employed,30393.0,653.0,40,104.0,0,Yes,Single,3,Average,1
27111.0,Salaried,13116.0,497.0,54,8.0,0,Yes,Single,0,Average,0
59268.0,Salaried,12897.0,670.0,49,93.0,0,Yes,Married,5,Average,1
65668.0,Self-Employed,25696.0,446.0,50,62.0,0,No,Married,3,Good,0
58058.0,Unemployed,12248.0,797.0,18,88.0,0,Yes,Divorced,1,Average,0
60689.0,Self-Employed,18134.0,347.0,36,82.0,0,No,Single,4,,0
61393.0,Unemployed,31806.0,471.0,19,55.0,0,Yes,Divorced,5,Poor,0
35759.0,Unemployed,13011.0,614.0,61,41.0,1,Yes,Single,0,Poor,0
71521.0,Self-Employed,32356.0,675.0,43,78.0,0,Yes,Married,1,Good,1
43099.0,Unemployed,17314.0,832.0,49,22.0,0,Yes,Married,0,Average,0
49004.0,Self-Employed,11030.0,719.0,23,73.0,2,Yes,Single,0,Good,1
45010.0,Self-Employed,24830.0,695.0,49,16.0,0,No,Single,4,Good,1
57373.0,Salaried,20862.0,821.0,21,80.0,1,No,Married,1,Average,1
41929.0,Self-Employed,20105.0,486.0,28,78.0,0,No,Married,2,Average,0
51004.0,Self-Employed,13850.0,332.0,34,15.0,1,Yes,Single,4,Good,0
31470.0,Salaried,20804.0,368.0,55,93.0,0,Yes,Married,3,Good,0
67470.0,Salaried,3459.0,490.0,41,53.0,0,Yes,Single,4,Good,0
60061.0,Unemployed,21750.0,400.0,22,96.0,0,Yes,Married,0,Good,0
45616.0,Unemployed,30378.0,784.0,69,10.0,0,No,Single,5,Good,0
42963.0,Salaried,5877.0,584.0,51,26.0,0,No,Divorced,0,Good,0
59669.0,Salaried,16746.0,689.0,23,62.0,1,Yes,Single,4,Poor,1
39391.0,Salaried,13003.0,459.0,39,27.0,2,No,Married,3,Good,1
51880.0,Self-Employed,7912.0,346.0,28,43.0,0,No,Single,2,Good,0
67421.0,Self-Employed,3577.0,458.0,65,81.0,2,Yes,Divorced,5,Good,0
37831.0,Self-Employed,10553.0,745.0,33,22.0,1,No,Married,5,Good,0
,Salaried,18061.0,822.0,50,83.0,2,Yes,Single,0,Average,1
54736.0,Unemployed,29193.0,454.0,26,17.0,1,Yes,Single,5,Good,0
,Unemployed,7818.0,638.0,23,26.0,1,Yes,Single,1,Good,0
42443.0,Self-Employed,22355.0,664.0,33,73.0,0,Yes,Married,4,Poor,1
68222.0,Self-Employed,21757.0,447.0,46,97.0,1,Yes,Married,4,Average,0
41036.0,Salaried,33376.0,443.0,20,25.0,2,No,Married,3,Good,0
22819.0,Salaried,24568.0,402.0,37,40.0,0,Yes,Married,5,Good,0
,Unemployed,25029.0,392.0,53,112.0,0,Yes,Married,4,Average,0
31980.0,Unemployed,25594.0,585.0,36,119.0,0,Yes,Married,3,Average,0
60378.0,Salaried,12606.0,723.0,43,72.0,3,Yes,Single,1,Poor,1
70024.0,Unemployed,15417.0,418.0,20,57.0,0,No,Single,2,Good,0
59446.0,Unemployed,28935.0,328.0,36,45.0,1,Yes,Single,5,Average,0
66071.0,Self-Employed,3594.0,810.0,37,76.0,2,No,Married,1,Good,1
80301.0,Salaried,14542.0,329.0,49,73.0,4,Yes,Single,5,Good,0
64501.0,Salaried,9354.0,665.0,24,39.0,0,Yes,Married,1,Average,1
54959.0,Salaried,21874.0,437.0,69,8.0,1,Yes,Single,3,Average,0
74509.0,Self-Employed,16627.0,774.0,58,23.0,2,Yes,Married,3,Good,1
76322.0,Salaried,25008.0,691.0,50,116.0,0,No,Single,1,Good,1
76532.0,Unemployed,19128.0,734.0,57,54.0,1,Yes,Married,2,Average,0
42618.0,Self-Employed,7631.0,533.0,56,61.0,0,Yes,,0,Good,0
29690.0,Self-Employed,8001.0,354.0,35,59.0,0,Yes,Single,2,Good,0
41702.0,Salaried,19952.0,591.0,57,96.0,0,No,Single,5,Good,0
60555.0,Unemployed,13831.0,611.0,18,13.0,0,Yes,Married,0,Good,0
52387.0,Salaried,15739.0,847.0,28,15.0,0,No,Married,5,Average,1
46903.0,Unemployed,27507.0,388.0,45,37.0,0,No,Single,4,Good,0
58407.0,Salaried,26072.0,511.0,42,61.0,0,Yes,Married,4,Good,0
27938.0,Unemployed,34382.0,617.0,67,83.0,0,Yes,Married,1,Average,0
52118.0,Unemployed,17469.0,764.0,40,62.0,0,Yes,Married,5,Good,0
,Unemployed,14871.0,386.0,48,56.0,0,Yes,,1,Average,0
58240.0,Self-Employed,23346.0,708.0,47,,1,No,Single,3,Good,1
60377.0,Salaried,15514.0,539.0,59,24.0,1,Yes,Married,0,Average,0
73961.0,Salaried,15776.0,356.0,52,71.0,0,No,Married,5,Average,0
49008.0,Salaried,18383.0,412.0,24,68.0,3,Yes,Married,4,Average,0
40204.0,Self-Employed,33222.0,369.0,33,60.0,0,Yes,Single,0,,0
,Unemployed,25632.0,,43,98.0,2,No,Married,3,Average,0
67567.0,Self-Employed,26471.0,575.0,65,36.0,0,Yes,Single,1,Average,0
58374.0,Self-Employed,32863.0,532.0,69,115.0,1,Yes,Married,2,Good,0
47594.0,Unemployed,27220.0,353.0,66,44.0,4,Yes,Single,3,Good,0
50021.0,Salaried,10949.0,556.0,19,68.0,2,Yes,Single,5,Good,0
30848.0,Self-Employed,27099.0,389.0,18,65.0,0,No,Married,1,Good,0
66694.0,Unemployed,28114.0,,65,103.0,0,Yes,Married,0,Good,0
66165.0,Unemployed,25215.0,707.0,29,56.0,0,No,Single,2,Poor,0
30325.0,Salaried,18436.0,568.0,22,38.0,1,Yes,Married,5,Poor,0
63014.0,Unemployed,24371.0,665.0,54,8.0,1,Yes,Married,4,Good,0
56062.0,Unemployed,19838.0,650.0,49,,4,Yes,Divorced,0,,0
34670.0,Unemployed,12175.0,,26,101.0,0,No,Married,0,Average,0
31910.0,Salaried,14163.0,458.0,58,7.0,0,Yes,Single,4,Good,0
55602.0,Salaried,25630.0,786.0,52,,0,Yes,Single,4,Poor,1
44034.0,Unemployed,12753.0,825.0,36,68.0,0,Yes,Married,3,Average,0
77299.0,Unemployed,13508.0,654.0,65,22.0,0,Yes,Single,0,Good,0
64289.0,Salaried,26027.0,700.0,33,40.0,0,No,Divorced,1,Good,1
57105.0,Salaried,21070.0,704.0,20,69.0,1,Yes,Divorced,5,Good,1
57846.0,Salaried,24618.0,,37,42.0,0,No,Divorced,0,Poor,0
69963.0,Self-Employed,10168.0,691.0,41,18.0,0,Yes,Single,1,Good,1
62698.0,Salaried,24395.0,651.0,50,82.0,0,Yes,Married,2,Good,1
57496.0,Unemployed,14720.0,587.0,41,83.0,2,Yes,Married,4,Good,0
35296.0,Salaried,11865.0,822.0,69,19.0,1,No,Single,4,Good,0
95929.0,Unemployed,15957.0,461.0,28,38.0,0,Yes,Single,3,Good,0
33452.0,Unemployed,30897.0,481.0,66,34.0,0,Yes,Single,2,Poor,0
45312.0,Unemployed,17084.0,848.0,25,81.0,0,Yes,Single,2,Good,1
25179.0,Salaried,37611.0,381.0,53,89.0,0,Yes,Divorced,0,Poor,0
58082.0,Salaried,3503.0,823.0,55,89.0,0,Yes,Married,1,Good,1
52267.0,Salaried,7630.0,303.0,57,113.0,0,No,Single,1,Good,0
61479.0,Salaried,30593.0,794.0,37,94.0,2,Yes,Married,0,Good,1
23914.0,Salaried,32605.0,350.0,52,42.0,0,Yes,Single,4,Good,0
66694.0,Self-Employed,13092.0,560.0,65,18.0,1,Yes,Single,2,Poor,0
37888.0,Salaried,20551.0,433.0,42,76.0,0,Yes,Single,3,Average,0
47765.0,Self-Employed,25698.0,661.0,52,,3,Yes,Married,1,Good,1
63974.0,Unemployed,18165.0,516.0,42,118.0,4,No,Married,3,Poor,0
53919.0,Unemployed,21199.0,367.0,46,32.0,1,Yes,Married,0,Average,0
54979.0,Unemployed,20087.0,,35,33.0,0,No,Married,4,Good,0
61988.0,Unemployed,8148.0,645.0,63,10.0,0,Yes,Single,4,,0
56432.0,Self-Employed,17243.0,493.0,35,22.0,1,No,Married,1,Average,0
44883.0,Self-Employed,20099.0,545.0,19,69.0,1,Yes,Single,1,Average,0
47503.0,Unemployed,20825.0,,52,68.0,0,No,Single,4,Good,0
53178.0,Salaried,6156.0,683.0,33,48.0,0,Yes,Married,1,Good,1
36567.0,Unemployed,26030.0,576.0,58,41.0,0,Yes,Single,1,Good,0
64940.0,Unemployed,21036.0,371.0,53,101.0,1,Yes,Single,2,Good,0
54330.0,Self-Employed,11557.0,428.0,50,58.0,1,Yes,Single,5,Good,0
51122.0,Unemployed,34393.0,657.0,21,98.0,0,Yes,Single,2,Average,0
,Self-Employed,17227.0,824.0,50,116.0,0,Yes,Divorced,1,Good,1
48198.0,Self-Employed,17747.0,519.0,31,42.0,0,No,Single,3,Good,0
